案由	编码				
第一部分 人格权纠纷	001				
一、人格权纠纷	001001				
1、生命权、健康权、身体权纠纷	001001001				
2、姓名权纠纷	001001002				
3、肖像权纠纷	001001003				
4、名誉权纠纷	001001004				
5、荣誉权纠纷	001001005				
6、隐私权纠纷	001001006				
7、婚姻自主权纠纷	001001007				
8、人身自由权纠纷	001001008				
9、一般人格权纠纷	001001009				
第二部分 婚姻家庭、继承纠纷	002				
二、婚姻家庭纠纷	002001				
10、婚约财产纠纷	002001001				
11、离婚纠纷	002001002				
12、离婚后财产纠纷	002001003				
13、离婚后损害责任纠纷	002001004				
14、婚姻无效纠纷	002001005				
15、撤销婚姻纠纷	002001006				
16、夫妻财产约定纠纷	002001007				
17、同居关系纠纷	002001008				
（1）同居关系析产纠纷	002001008001				
（2）同居关系子女抚养纠纷	002001008002				
18、抚养纠纷	002001009				
（1）抚养费纠纷	002001009001				
（2）变更抚养关系纠纷	002001009002				
19、扶养纠纷	002001010				
（1）扶养费纠纷	002001010001				
（2）变更扶养关系纠纷	002001010002				
20、赡养纠纷	002001011				
（1）赡养费纠纷	002001011001				
（2）变更赡养关系纠纷	002001011002				
21、收养关系纠纷	002001012				
（1）确认收养关系纠纷	002001012001				
（2）解除收养关系纠纷	002001012002				
22、监护权纠纷	002001013				
23、探望权纠纷	002001014				
24、分家析产纠纷	002001015				
三、继承纠纷	002002				
25、法定继承纠纷	002002001				
（1）转继承纠纷	002002001001				
（2）代位继承纠纷	002002001002				
26、遗嘱继承纠纷	002002002				
27、被继承人债务清偿纠纷	002002003				
28、遗赠纠纷	002002004				
29、遗赠扶养协议纠纷	002002005				
第三部分 物权纠纷	003				
四、不动产登记纠纷	003001				
30、异议登记不当损害责任纠纷	003001001				
31、虚假登记损害责任纠纷	003001002				
五、物权保护纠纷	003002				
32、物权确认纠纷	003002001				
（1）所有权确认纠纷	003002001001				
（2）用益物权确认纠纷	003002001002				
（3）担保物权确认纠纷	003002001003				
33、返还原物纠纷	003002002				
34、排除妨害纠纷	003002003				
35、消除危险纠纷	003002004				
36、修理、重作、更换纠纷	003002005				
37、恢复原状纠纷	003002006				
38、财产损害赔偿纠纷	003002007				
六、所有权纠纷	003003				
39、侵害集体经济组织成员权益纠纷	003003001				
40、建筑物区分所有权纠纷	003003002				
（1）业主专有权纠纷	003003002001				
（2）业主共有权纠纷	003003002002				
（3）车位纠纷	003003002003				
（4）车库纠纷	003003002004				
